VehicleId,VehicleName,DriverId,DriverFirstName,DriverLastName,RouteId,RouteName,PatternId,PatternName,StopId,StopName,StopNumber,Timepoint,TripId,TripName,RunId,RunName,BlockId,Arrive,Depart,DepartVariance,ScheduledDepart,Ons,Offs,ArrivalPassengers,VehicleCapacity,DeparturePassengers
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747450,Mission & Laurel,1630,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:00:23 -07:00,05/12/2022 00:00:39 -07:00,99,05/11/2022 23:59:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747846,Mission & Swift,2619,FALSE,3313276,155411,371863,1554,297967,05/12/2022 00:00:41 -07:00,05/12/2022 00:01:13 -07:00,433,05/11/2022 23:54:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747447,Mission & Olive,1624,TRUE,3313307,180216,371865,1802,297969,05/12/2022 00:01:15 -07:00,05/12/2022 00:01:27 -07:00,27,05/12/2022 00:01:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747443,Mission & Miramar Dr (Almar Shopping Ctr),1619,FALSE,3313276,155411,371863,1554,297967,05/12/2022 00:01:49 -07:00,05/12/2022 00:02:41 -07:00,461,05/11/2022 23:55:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747444,Mission & Miramar Dr (Almar Shopping Ctr),1620,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:01:51 -07:00,05/12/2022 00:02:35 -07:00,95,05/12/2022 00:01:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747733,Mission & King,2342,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:02:51 -07:00,05/12/2022 00:02:59 -07:00,59,05/12/2022 00:02:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747446,Mission & Palm (Palm Center),1623,TRUE,3313276,155411,371863,1554,297967,05/12/2022 00:03:13 -07:00,05/12/2022 00:03:21 -07:00,441,05/11/2022 23:56:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747448,Mission & Trescony,1625,FALSE,3313276,155411,371863,1554,297967,05/12/2022 00:03:45 -07:00,05/12/2022 00:03:57 -07:00,417,05/11/2022 23:57:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747734,Western Dr & Beachview Ave,2344,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:03:56 -07:00,05/12/2022 00:04:08 -07:00,128,05/12/2022 00:02:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747449,Mission & Laurel,1629,FALSE,3313276,155411,371863,1554,297967,05/12/2022 00:04:09 -07:00,05/12/2022 00:04:29 -07:00,389,05/11/2022 23:58:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747609,Western Dr & Flower,1907,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:04:32 -07:00,05/12/2022 00:05:00 -07:00,180,05/12/2022 00:02:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747437,Laurel & Blackburn,1590,FALSE,3313276,155411,371863,1554,297967,05/12/2022 00:05:25 -07:00,05/12/2022 00:06:01 -07:00,361,05/12/2022 00:00:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747754,Western Dr & Western Ct,2393,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:05:36 -07:00,05/12/2022 00:05:48 -07:00,168,05/12/2022 00:03:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747610,Western Dr & Monarch Way,1909,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:05:52 -07:00,05/12/2022 00:06:04 -07:00,184,05/12/2022 00:03:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747825,Laurel & Chestnut,2572,FALSE,3313276,155411,371863,1554,297967,05/12/2022 00:06:09 -07:00,05/12/2022 00:06:45 -07:00,405,05/12/2022 00:00:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747611,Western Dr & Meder,1910,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:06:28 -07:00,05/12/2022 00:07:08 -07:00,248,05/12/2022 00:03:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747902,Santa Cruz Metro Center,2700,FALSE,3313276,155411,371863,1554,297967,05/12/2022 00:07:47 -07:00,05/12/2022 00:07:47 -07:00,347,05/12/2022 00:02:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747390,High & Western Dr,1510,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:08:00 -07:00,05/12/2022 00:08:20 -07:00,260,05/12/2022 00:04:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747299,Bay & High (UCSC - Main Entrance),1341,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:09:04 -07:00,05/12/2022 00:09:20 -07:00,320,05/12/2022 00:04:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747300,Coolidge Dr & Hagar Ct  (UCSC - Lower Campus),1342,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:09:56 -07:00,05/12/2022 00:10:08 -07:00,308,05/12/2022 00:05:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747879,Hagar Dr & Village Rd (UCSC - The Farm),2669,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:10:52 -07:00,05/12/2022 00:11:00 -07:00,360,05/12/2022 00:05:00 -07:00,0,0,0,57,0
