stopID,trip,count
1238, 350502, 2,
1238, 350403, 1,
1238, 350704, 1,
1242, 350502, 1,
1242, 350403, 1,
1246, 350502, 2,
1246, 350411, 4,
1247, 350502, 1,
1247, 350403, 1,
1247, 350902, 1,
1247, 350708, 2,
1458, 350403, 1,
1466, 350502, 2,
1466, 350902, 2,
1471, 350208, 2,
1471, 350712, 2,
1474, 350502, 1,
1492, 350403, 1,
1492, 350704, 1,
1492, 350208, 1,
1492, 350407, 6,
1492, 350906, 2,
1492, 350708, 3,
1527, 350704, 1,
1530, 350502, 4,
1530, 350403, 1,
1530, 350902, 1,
1530, 350208, 3,
1543, 350902, 1,
1543, 350208, 1,
1543, 350407, 2,
1543, 350906, 1,
1543, 350708, 1,
1543, 350712, 1,
1548, 350902, 1,
1554, 350403, 2,
1554, 350208, 1,
1554, 350714, 1,
1556, 350403, 2,
1558, 350704, 1,
1558, 350712, 3,
1561, 350502, 1,
1561, 350403, 2,
1561, 350902, 1,
1561, 350704, 1,
1561, 350712, 2,
1571, 350704, 1,
1571, 350708, 1,
1650, 350407, 2,
1653, 350502, 1,
1653, 350704, 2,
1653, 350208, 1,
1653, 350906, 4,
1653, 350212, 1,
1667, 350902, 1,
1667, 350212, 1,
1735, 350704, 6,
1735, 350407, 1,
1735, 350708, 1,
1738, 350906, 2,
1738, 350712, 1,
1745, 350403, 4,
1745, 350407, 2,
1745, 350906, 2,
1745, 350708, 1,
1745, 350212, 1,
1749, 350902, 1,
1894, 350708, 2,
2124, 350704, 1,
2125, 350502, 1,
2125, 350902, 1,
2125, 350906, 1,
2125, 350212, 1,
2286, 350704, 1,
2286, 350708, 2,
2286, 350910, 2,
2294, 350906, 1,
2364, 350208, 1,
2364, 350708, 9,
2364, 350910, 1,
2372, 350902, 1,
2372, 350906, 1,
2624, 350902, 4,
2624, 350704, 1,
2624, 350407, 3,
2624, 350708, 3,
2632, 350502, 1,
2632, 350902, 1,
2632, 350708, 1,
2632, 350714, 1,
