TRANSACTION DETAIL REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TUESDAY APRIL 12, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ METRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Transaction Type,Product,Date Time,Bus,Driver,Route,Run,Trip,FS,Fare Box,Orig Bus,Direction,Orig Dir.,Track2,Card ID / Sequence #,Keys,TTP,Grp,Designator,Mfr,Agency,Restored,1st Use,TPBC,Sec Cd,Longitude,Latitude,Imp. Val,Amt Chrg,Stop ID,Rem Val,Stop Abbr,Stop Name
1,119 - Got fare,EMERGNCY,4/12/22 5:58,2811,617,693,7104,710401,1,31205,,Outbound,,,,9,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,EM D DAY,4/12/22 5:58,2811,617,693,7104,710401,1,31205,,Outbound,,,,,32,6,9,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,EMERGNCY,4/12/22 6:00,1202,490,693,7103,710301,1,31218,,Inbound,,,,9,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,EMERGNCY,4/12/22 6:00,1202,490,693,7103,710301,1,31218,,Inbound,,,,9,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,EM D DAY,4/12/22 6:00,1202,490,693,7103,710301,1,31218,,Inbound,,,,,32,6,9,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,MST XFER,4/12/22 6:00,1202,490,693,7103,710301,1,31218,,Inbound,,,,A,,0,0,0,0,,,,,0,0,,0,0,,,
1,115 - Period pass,31D LOC,4/12/22 6:35,2811,617,693,7104,710401,1,31205,,Outbound,,,Card ID 3410594,,7,1,4,123,5,,No,0,5,0,0,,0,0,,,
1,119 - Got fare,BICYCLE,4/12/22 6:35,2811,617,693,7104,710401,1,31205,,Outbound,,,,8,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,Preset,4/12/22 6:36,2811,617,693,7104,710401,1,31205,,Outbound,,,,PRE,,0,0,0,0,,,,,0,0,,2,0,,,
1,119 - Got fare,Mble Tic,4/12/22 6:44,1202,490,693,7103,710301,1,31218,,Inbound,,,,C,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,CABRILLO,4/12/22 6:44,1202,490,693,7103,710301,1,31218,,Inbound,,,,7,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,Preset,4/12/22 6:44,1202,490,693,7103,710301,1,31218,,Inbound,,,,PRE,,0,0,0,0,,,,,0,0,,2,0,,,
1,119 - Got fare,Preset,4/12/22 6:44,1202,490,693,7103,710301,1,31218,,Inbound,,,,PRE,,0,0,0,0,,,,,0,0,,2,0,,,
1,119 - Got fare,CABRILLO,4/12/22 6:44,1202,490,693,7103,710301,1,31218,,Inbound,,,,7,,0,0,0,0,,,,,0,0,,0,0,,,
