VehicleId,VehicleName,DriverId,DriverFirstName,DriverLastName,RouteId,RouteName,PatternId,PatternName,StopId,StopName,StopNumber,Timepoint,TripId,TripName,RunId,RunName,BlockId,Arrive,ArriveVariance,ScheduledArrive,Depart,DepartVariance,ScheduledDepart,Ons,Offs,ArrivalPassengers,VehicleCapacity,DeparturePassengers
5275,1611,15904,Operator,654,4353,71 - Soquel/Freedom,18653,71-03-40-SC via Clifford,4747538,Soquel Dr (Dominican Hospital),1805,True,3313686,710511,371916,7105,298020,04/16/2022 00:00:01 -07:00,-86279,04/16/2022 23:58:00 -07:00,04/16/2022 00:00:33 -07:00,-86247,04/16/2022 23:58:00 -07:00,0,0,0,40,0
6512,9811,23045,Operator,698,4367,35 - Highway 9/Scotts Valley,19268,35-19-90-Mtn Store/ CClub via Glen Arbor,4747429,Highway 9 & Cresta Dr,1565,False,3313472,350217,371888,3502,297992,04/16/2022 00:00:11 -07:00,-85489,04/16/2022 23:45:00 -07:00,04/16/2022 00:00:14 -07:00,-85486,04/16/2022 23:45:00 -07:00,0,0,0,30,0
5271,1305,23046,Operator,699,4353,71 - Soquel/Freedom,18652,71-02-38-Wats via Clifford,4747541,Soquel Dr & Mission Dr,1808,False,3313601,660511,371907,6605,298011,04/16/2022 00:00:24 -07:00,-86136,04/16/2022 23:56:00 -07:00,04/16/2022 00:00:32 -07:00,-86128,04/16/2022 23:56:00 -07:00,0,0,0,28,0
6512,9811,23045,Operator,698,4367,35 - Highway 9/Scotts Valley,19268,35-19-90-Mtn Store/ CClub via Glen Arbor,4747777,Highway 9 & Brookside Dr,2440,False,3313472,350217,371888,3502,297992,04/16/2022 00:00:35 -07:00,-85525,04/16/2022 23:46:00 -07:00,04/16/2022 00:00:38 -07:00,-85522,04/16/2022 23:46:00 -07:00,0,0,0,30,0
5271,1305,23046,Operator,699,4353,71 - Soquel/Freedom,18652,71-02-38-Wats via Clifford,4747742,Soquel Dr & Chanticleer Ave,2367,False,3313601,660511,371907,6605,298011,04/16/2022 00:00:44 -07:00,-86176,04/16/2022 23:57:00 -07:00,04/16/2022 00:00:52 -07:00,-86168,04/16/2022 23:57:00 -07:00,0,0,0,28,0
5267,1210,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747870,Western Dr & Meder,2659,False,3313276,155411,371863,1554,297967,04/16/2022 00:00:49 -07:00,-85751,04/16/2022 23:50:00 -07:00,04/16/2022 00:01:05 -07:00,-85735,04/16/2022 23:50:00 -07:00,0,0,0,39,0
5271,1305,23046,Operator,699,4353,71 - Soquel/Freedom,18652,71-02-38-Wats via Clifford,4747544,Soquel Dr & Winkle Ave,1811,False,3313601,660511,371907,6605,298011,04/16/2022 00:01:04 -07:00,-86216,04/16/2022 23:58:00 -07:00,04/16/2022 00:01:12 -07:00,-86208,04/16/2022 23:58:00 -07:00,0,0,0,28,0
5262,1901,17868,Operator,674,4378,19 - UCSC via West Gate - Bay,16149,19-00-13-UCSC via Lower Bay,4747627,Bay & King,2056,False,3313344,190215,371868,1902,297972,04/16/2022 00:01:09 -07:00,9,04/16/2022 00:01:00 -07:00,04/16/2022 00:01:17 -07:00,17,04/16/2022 00:01:00 -07:00,0,0,0,39,0
5275,1611,15904,Operator,654,4353,71 - Soquel/Freedom,18653,71-03-40-SC via Clifford,4747536,Soquel Ave & 7th Ave,1803,False,3313686,710511,371916,7105,298020,04/16/2022 00:01:21 -07:00,81,04/16/2022 00:00:00 -07:00,04/16/2022 00:01:53 -07:00,113,04/16/2022 00:00:00 -07:00,0,0,0,40,0
5210,9818,21078,Operator,691,4367,35 - Highway 9/Scotts Valley,18656,35-09-86-CClub via Glen Arbor IB SV Drive,4747369,River & Front,1457,False,3313523,350714,371892,3507,297996,04/16/2022 00:01:35 -07:00,-85825,04/16/2022 23:52:00 -07:00,04/16/2022 00:01:55 -07:00,-85805,04/16/2022 23:52:00 -07:00,0,0,0,30,0
