VehicleId,VehicleName,DriverId,DriverFirstName,DriverLastName,RouteId,RouteName,PatternId,PatternName,StopId,StopName,StopNumber,Timepoint,TripId,TripName,RunId,RunName,BlockId,Arrive,ArriveVariance,ScheduledArrive,Depart,DepartVariance,ScheduledDepart,Ons,Offs,ArrivalPassengers,VehicleCapacity,DeparturePassengers
5234,2223,21078,Operator,691,4367,35 - Highway 9/Scotts Valley,18656,35-09-86-CClub via Glen Arbor IB SV Drive,4747466,Ocean & Franklin,1667,False,3311589,350714,371683,3507,297837,04/09/2022 00:00:20 -07:00,-85780,04/09/2022 23:50:00 -07:00,04/09/2022 00:00:28 -07:00,-85772,04/09/2022 23:50:00 -07:00,0,0,0,30,0
5271,1305,23046,Operator,699,4353,71 - Soquel/Freedom,18652,71-02-38-Wats via Clifford,4747548,Soquel Dr & 41st Ave,1818,True,3311658,660511,371693,6605,297847,04/09/2022 00:00:37 -07:00,37,04/09/2022 00:00:00 -07:00,04/09/2022 00:01:33 -07:00,93,04/09/2022 00:00:00 -07:00,0,0,0,28,0
5279,1902,17868,Operator,674,4378,19 - UCSC via West Gate - Bay,16149,19-00-13-UCSC via Lower Bay,4747240,Bay & Mission (Bay View School),1225,True,3311410,190215,371659,1902,297813,04/09/2022 00:00:40 -07:00,-80,04/09/2022 00:02:00 -07:00,04/09/2022 00:02:00 -07:00,0,04/09/2022 00:02:00 -07:00,0,0,0,39,0
5234,2223,21078,Operator,691,4367,35 - Highway 9/Scotts Valley,18656,35-09-86-CClub via Glen Arbor IB SV Drive,4747464,Ocean & Blaine,1665,False,3311589,350714,371683,3507,297837,04/09/2022 00:00:48 -07:00,-85752,04/09/2022 23:50:00 -07:00,04/09/2022 00:00:56 -07:00,-85744,04/09/2022 23:50:00 -07:00,0,0,0,30,0
5257,2601,15982,Operator,618,4353,71 - Soquel/Freedom,18653,71-03-40-SC via Clifford,4747532,Soquel Ave & Park Way,1799,False,3311743,710511,371702,7105,297856,04/09/2022 00:00:51 -07:00,-69,04/09/2022 00:02:00 -07:00,04/09/2022 00:00:55 -07:00,-65,04/09/2022 00:02:00 -07:00,0,0,0,39,0
5221,2322,15928,Operator,194,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747846,Mission & Swift,2619,False,3311342,155411,371654,1554,297808,04/09/2022 00:01:01 -07:00,-85979,04/09/2022 23:54:00 -07:00,04/09/2022 00:01:45 -07:00,-85935,04/09/2022 23:54:00 -07:00,0,0,0,57,0
5234,2223,21078,Operator,691,4367,35 - Highway 9/Scotts Valley,18656,35-09-86-CClub via Glen Arbor IB SV Drive,4747602,Water & Ocean,1894,False,3311589,350714,371683,3507,297837,04/09/2022 00:01:08 -07:00,-85792,04/09/2022 23:51:00 -07:00,04/09/2022 00:01:20 -07:00,-85780,04/09/2022 23:51:00 -07:00,0,0,0,30,0
5257,2601,15982,Operator,618,4353,71 - Soquel/Freedom,18653,71-03-40-SC via Clifford,4747531,Soquel Ave & Trevethan Ave,1798,False,3311743,710511,371702,7105,297856,04/09/2022 00:01:11 -07:00,-49,04/09/2022 00:02:00 -07:00,04/09/2022 00:01:19 -07:00,-41,04/09/2022 00:02:00 -07:00,0,0,0,39,0
5254,1204,15977,Operator,616,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747450,Mission & Laurel,1630,False,3311373,180216,371656,1802,297810,04/09/2022 00:01:16 -07:00,-86264,04/09/2022 23:59:00 -07:00,04/09/2022 00:02:12 -07:00,-86208,04/09/2022 23:59:00 -07:00,0,0,0,39,0
5257,2601,15982,Operator,618,4353,71 - Soquel/Freedom,18653,71-03-40-SC via Clifford,4747529,Soquel Ave & San Juan Ave,1796,False,3311743,710511,371702,7105,297856,04/09/2022 00:01:35 -07:00,-85,04/09/2022 00:03:00 -07:00,04/09/2022 00:01:43 -07:00,-77,04/09/2022 00:03:00 -07:00,0,0,0,39,0
