VehicleId,VehicleName,DriverId,DriverFirstName,DriverLastName,RouteId,RouteName,PatternId,PatternName,StopId,StopName,StopNumber,Timepoint,TripId,TripName,RunId,RunName,BlockId,Arrive,ArriveVariance,ScheduledArrive,Depart,DepartVariance,ScheduledDepart,Ons,Offs,ArrivalPassengers,VehicleCapacity,DeparturePassengers
5221,2322,22403,Operator,697,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747813,Heller Dr (UCSC - Family Student Housing),2516,False,3310995,103113,371614,1031,297768,04/03/2022 00:00:59 -07:00,-85741,04/03/2022 23:50:00 -07:00,04/03/2022 00:01:19 -07:00,-85721,04/03/2022 23:50:00 -07:00,0,0,0,57,0
5221,2322,22403,Operator,697,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747388,Heller Dr (UCSC - Oakes College),1505,False,3310995,103113,371614,1031,297768,04/03/2022 00:01:39 -07:00,-85761,04/03/2022 23:51:00 -07:00,04/03/2022 00:03:15 -07:00,-85665,04/03/2022 23:51:00 -07:00,0,0,0,57,0
6512,9811,23047,Operator,700,4353,71 - Soquel/Freedom,18652,71-02-38-Wats via Clifford,4747548,Soquel Dr & 41st Ave,1818,True,3311122,353610,371628,3536,297782,04/03/2022 00:03:54 -07:00,234,04/03/2022 00:00:00 -07:00,04/03/2022 00:04:38 -07:00,278,04/03/2022 00:00:00 -07:00,0,0,0,30,0
5221,2322,22403,Operator,697,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747726,Empire Grade (UCSC - Arboretum),2328,False,3310995,103113,371614,1031,297768,04/03/2022 00:04:15 -07:00,-85725,04/03/2022 23:53:00 -07:00,04/03/2022 00:04:18 -07:00,-85722,04/03/2022 23:53:00 -07:00,0,0,0,57,0
5221,2322,22403,Operator,697,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747938,High (Tosca Terrace),2739,False,3310995,103113,371614,1031,297768,04/03/2022 00:04:49 -07:00,-85751,04/03/2022 23:54:00 -07:00,04/03/2022 00:05:13 -07:00,-85727,04/03/2022 23:54:00 -07:00,0,0,0,57,0
6512,9811,23047,Operator,700,4353,71 - Soquel/Freedom,18652,71-02-38-Wats via Clifford,4747549,Soquel Dr & Daubenbiss Ave,1820,False,3311122,353610,371628,3536,297782,04/03/2022 00:05:18 -07:00,258,04/03/2022 00:01:00 -07:00,04/03/2022 00:05:54 -07:00,294,04/03/2022 00:01:00 -07:00,0,0,0,30,0
5221,2322,22403,Operator,697,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747870,Western Dr & Meder,2659,False,3310995,103113,371614,1031,297768,04/03/2022 00:06:01 -07:00,-85739,04/03/2022 23:55:00 -07:00,04/03/2022 00:06:37 -07:00,-85703,04/03/2022 23:55:00 -07:00,0,0,0,57,0
6512,9811,23047,Operator,700,4353,71 - Soquel/Freedom,18652,71-02-38-Wats via Clifford,4747552,Soquel Dr & Main,1823,False,3311122,353610,371628,3536,297782,04/03/2022 00:06:10 -07:00,310,04/03/2022 00:01:00 -07:00,04/03/2022 00:06:50 -07:00,350,04/03/2022 00:01:00 -07:00,0,0,0,30,0
6512,9811,23047,Operator,700,4353,71 - Soquel/Freedom,18652,71-02-38-Wats via Clifford,4747553,Soquel Dr & E Walnut,1824,False,3311122,353610,371628,3536,297782,04/03/2022 00:07:06 -07:00,306,04/03/2022 00:02:00 -07:00,04/03/2022 00:07:14 -07:00,314,04/03/2022 00:02:00 -07:00,0,0,0,30,0
5221,2322,22403,Operator,697,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747871,Western Dr & Monarch Way,2660,False,3310995,103113,371614,1031,297768,04/03/2022 00:07:09 -07:00,-85731,04/03/2022 23:56:00 -07:00,04/03/2022 00:07:37 -07:00,-85703,04/03/2022 23:56:00 -07:00,0,0,0,57,0
6512,9811,23047,Operator,700,4353,71 - Soquel/Freedom,18652,71-02-38-Wats via Clifford,4747554,Soquel Dr & Capitola Ave,1825,False,3311122,353610,371628,3536,297782,04/03/2022 00:07:18 -07:00,318,04/03/2022 00:02:00 -07:00,04/03/2022 00:08:26 -07:00,386,04/03/2022 00:02:00 -07:00,0,0,0,30,0
5221,2322,22403,Operator,697,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747872,Western Dr & Western Ct,2661,False,3310995,103113,371614,1031,297768,04/03/2022 00:07:45 -07:00,-85695,04/03/2022 23:56:00 -07:00,04/03/2022 00:07:49 -07:00,-85691,04/03/2022 23:56:00 -07:00,0,0,0,57,0
5221,2322,22403,Operator,697,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747873,Western Dr & Cypress Park,2662,False,3310995,103113,371614,1031,297768,04/03/2022 00:08:05 -07:00,-85735,04/03/2022 23:57:00 -07:00,04/03/2022 00:08:13 -07:00,-85727,04/03/2022 23:57:00 -07:00,0,0,0,57,0
5221,2322,22403,Operator,697,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747874,Western Dr & Flower,2663,False,3310995,103113,371614,1031,297768,04/03/2022 00:08:21 -07:00,-85719,04/03/2022 23:57:00 -07:00,04/03/2022 00:08:49 -07:00,-85691,04/03/2022 23:57:00 -07:00,0,0,0,57,0
6512,9811,23047,Operator,700,4353,71 - Soquel/Freedom,18652,71-02-38-Wats via Clifford,4747557,Soquel Dr & Orchard,1828,False,3311122,353610,371628,3536,297782,04/03/2022 00:08:42 -07:00,342,04/03/2022 00:03:00 -07:00,04/03/2022 00:08:50 -07:00,350,04/03/2022 00:03:00 -07:00,0,0,0,30,0
6512,9811,23047,Operator,700,4353,71 - Soquel/Freedom,18652,71-02-38-Wats via Clifford,4747559,Soquel Dr & Silver Birch Ln,1830,False,3311122,353610,371628,3536,297782,04/03/2022 00:08:58 -07:00,358,04/03/2022 00:03:00 -07:00,04/03/2022 00:09:04 -07:00,364,04/03/2022 00:03:00 -07:00,0,0,0,30,0
