TRANSACTION DETAIL REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MONDAY MARCH 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ METRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Transaction Type,Product,Date Time,Bus,Driver,Route,Run,Trip,FS,Fare Box,Orig Bus,Direction,Orig Dir.,Track2,Card ID / Sequence #,Keys,TTP,Grp,Designator,Mfr,Agency,Restored,1st Use,TPBC,Sec Cd,Longitude,Latitude,Imp. Val,Amt Chrg,Stop ID,Rem Val,Stop Abbr,Stop Name
1,119 - Got fare,UC STAFF,3/28/22 5:55,1303,416,910,4101,410101,1,31203,,Inbound,,,,2,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC/Gryhd,3/28/22 6:00,1206,570,710,3537,710101,1,31210,,Inbound,,,,1,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC/Gryhd,3/28/22 6:05,9810,0,0,0,0,1,31190,,Inbound,,,,1,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC/Gryhd,3/28/22 6:06,9810,0,0,0,0,1,31190,,Inbound,,,,1,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC STAFF,3/28/22 6:28,2316,656,18,1801,180101,1,31228,,Outbound,,,,2,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC STAFF,3/28/22 6:28,2316,656,18,1801,180101,1,31228,,Outbound,,,,2,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC/Gryhd,3/28/22 6:28,2316,656,18,1801,180101,1,31228,,Outbound,,,,1,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC STAFF,3/28/22 6:28,2316,656,18,1801,180101,1,31228,,Outbound,,,,2,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC/Gryhd,3/28/22 6:28,2316,656,18,1801,180101,1,31228,,Outbound,,,,1,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC STAFF,3/28/22 6:29,2316,656,18,1801,180101,1,31228,,Outbound,,,,2,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC STAFF,3/28/22 6:31,2316,656,18,1801,180101,1,31228,,Outbound,,,,2,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC STAFF,3/28/22 6:35,1902,487,19,1551,155101,1,31179,,Outbound,,,,2,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC/Gryhd,3/28/22 6:36,2316,656,18,1801,180101,1,31228,,Outbound,,,,1,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC STAFF,3/28/22 6:40,2316,656,18,1801,180101,1,31228,,Outbound,,,,2,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC/Gryhd,3/28/22 6:40,2316,656,18,1801,180101,1,31228,,Outbound,,,,1,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC/Gryhd,3/28/22 6:40,2316,656,18,1801,180101,1,31228,,Outbound,,,,1,,0,0,0,0,,,,,0,0,,0,0,,,
1,119 - Got fare,UC/Gryhd,3/28/22 6:40,2316,656,18,1801,180101,1,31228,,Outbound,,,,1,,0,0,0,0,,,,,0,0,,0,0,,,
