TRANSACTION DETAIL REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MONDAY MARCH 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ METRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Transaction Type,Product,Date Time,Bus,Driver,Route,Run,Trip,FS,Fare Box,Orig Bus,Direction,Orig Dir.,Track2,Card ID / Sequence #,Keys,TTP,Grp,Designator,Mfr,Agency,Restored,1st Use,TPBC,Sec Cd,Longitude,Latitude,Imp. Val,Amt Chrg,Stop ID,Rem Val,Stop Abbr,Stop Name
1,119 - Got fare,EMERGNCY,3/28/2022 04:20:47,2214,378,750,3539,515,1,31181,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,3/28/2022 04:20:52,2214,378,750,3539,515,1,31181,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,3/28/2022 04:20:56,2214,378,750,3539,515,1,31181,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,3/28/2022 04:21:01,2214,378,750,3539,515,1,31181,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,3/28/2022 04:21:05,2214,378,750,3539,515,1,31181,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,3/28/2022 04:21:09,2214,378,750,3539,515,1,31181,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,3/28/2022 04:21:14,2214,378,750,3539,515,1,31181,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,3/28/2022 04:21:18,2214,378,750,3539,515,1,31181,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,MST XFER,3/28/2022 04:23:50,2214,378,750,3539,515,1,31181,,Outbound,,,,A,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,3/28/2022 05:15:21,1901,194,750,7501,750101,1,31181,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,SWAP FS,3/28/2022 05:23:44,4207,628,170,1701,170101,1,31133,,Outbound,,,,,33,6,10,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,3/28/2022 05:23:46,4207,628,170,1701,170101,2,31133,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,3/28/2022 05:23:50,4207,628,170,1701,170101,2,31133,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,3/28/2022 05:30:50,9810,999,999,3532,99,1,31190,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,3/28/2022 05:36:14,2214,378,750,7501,750101,1,31181,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D LOC,3/28/2022 05:40:54,1206,570,710,3537,710101,1,31210,,Inbound,,,Seq #: 6689014,,7,1,4,123,5,,Yes,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,116 - Stored value card,ST VALUE,3/28/2022 05:42:07,4207,628,170,1701,170101,2,31133,,Outbound,,,Seq #: 87296028,,14,3,1,123,0,No,No,,,0.00000000,0.00000000,0.00,-3.50,0       ,24.50,,
1,119 - Got fare,REDUCED,3/28/2022 05:42:07,4207,628,170,1701,170101,2,31133,,Outbound,,,,,16,6,16,0,0,,,,,0.00000000,0.00000000,,3.50,0       ,,,
1,119 - Got fare,Mble Tic,3/28/2022 05:42:16,4207,628,170,1701,170101,2,31133,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,3/28/2022 05:42:16,4207,628,170,1701,170101,2,31133,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,3/28/2022 05:42:26,4207,628,170,1701,170101,2,31133,,Outbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,7.00,0       ,,,
1,119 - Got fare,FULLFARE,3/28/2022 05:42:29,4207,628,170,1701,170101,2,31133,,Outbound,,,,,15,6,15,0,0,,,,,0.00000000,0.00000000,,7.00,0       ,,,
1,119 - Got fare,OVERPAY,3/28/2022 05:42:37,4207,628,170,1701,170101,2,31133,,Outbound,,,,,22,6,22,0,0,,,,,0.00000000,0.00000000,,1.00,0       ,,,
1,115 - Period pass,31D HW17,3/28/2022 05:42:50,4207,628,170,1701,170101,2,31133,,Outbound,,,Seq #: 6627586,,10,1,7,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,3/28/2022 05:44:43,1206,570,710,3537,710101,1,31210,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,Preset,3/28/2022 05:47:41,4207,628,170,1701,170101,2,31133,,Outbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,7.00,0       ,,,
1,115 - Period pass,31D LOC,3/28/2022 05:50:19,1206,570,710,3537,710101,1,31210,,Inbound,,,Card ID 3410319,,7,1,4,123,5,,No,0,5,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,REDUCED,3/28/2022 05:51:16,4207,628,170,1701,170101,2,31133,,Outbound,,,,,16,6,16,0,0,,,,,0.00000000,0.00000000,,3.50,0       ,,,
1,116 - Stored value card,ST VALUE,3/28/2022 05:51:17,4207,628,170,1701,170101,2,31133,,Outbound,,,Seq #: 87262322,,14,3,1,123,0,No,No,,,0.00000000,0.00000000,0.00,-3.50,0       ,3.00,,
1,115 - Period pass,31D HW17,3/28/2022 05:51:25,4207,628,170,1701,170101,2,31133,,Outbound,,,Seq #: 6628100,,10,1,7,123,5,,Yes,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,BICYCLE,3/28/2022 05:51:45,4207,628,170,1701,170101,2,31133,,Outbound,,,,8,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
