stopID,trip,count,blanks
1570,350217,3,
1652,350713,1,
1664,350713,1,
1713,350217,4,
1892,350713,1,
2371,350713,2,
2624,350713,2,
2624,350217,1,
2633,350713,1,
2667,350713,4,
1470,350217,1,
1553,350217,1,
1652,350713,1,
1664,350217,1,
1666,350713,1,
1892,350713,1,
2624,350217,3,
2667,350713,5,
2667,350217,4,
1470,350713,1,
1533,350713,1,
1652,350713,1,
1664,350713,1,
1892,350217,3,
2371,350713,3,
2624,350713,2,
2667,350217,4,
1570,350217,1,
1652,350713,1,
1664,350713,3,
1664,350217,3,
2371,350713,3,
2559,350217,1,
2624,350217,1,
2667,350713,4,
2667,350217,3,
1652,350713,2,
2519,350713,1,
2624,350713,1,
1652,350713,1,
1664,350713,1,
1734,350713,1,
1892,350713,1,
2559,350713,2,
2667,350713,1,
1652,350713,1,
1713,350217,1,
2559,350713,1,
2624,350713,1,
2667,350713,2,
2667,350217,1,
1652,350713,2,
1652,350217,1,
1892,350713,3,
2559,350713,1,
2559,350217,1,
2667,350713,2,
2667,350217,3,
1664,350713,1,
1664,350217,1,
1713,350713,1,
1892,350713,2,
2288,350217,1,
2559,350217,1,
2624,350217,1,
2667,350713,3,
2667,350217,2,
1570,350217,2,
1652,350713,2,
1652,350217,1,
1664,350217,1,
1666,350217,1,
1892,350713,1,
2371,350713,1,
2624,350713,1,
2667,350713,3,
1652,350713,2,
1664,350713,1,
1666,350217,1,
2371,350713,1,
2559,350713,2,
2624,350217,2,
2667,350713,3,
1470,350217,1,
1553,350217,1,
1652,350713,2,
1664,350713,1,
1666,350713,2,
1666,350217,2,
1713,350713,1,
1734,350217,2,
2371,350713,1,
2624,350713,1,
2667,350713,3,
2667,350217,1,
1533,350217,2,
1553,350217,1,
1652,350713,1,
1664,350713,4,
2371,350713,1,
2371,350217,1,
2624,350217,1,
2667,350217,1,
1652,350713,1,
1664,350713,2,
1713,350713,1,
2515,350713,1,
2559,350713,1,
2667,350713,6,
1567,350713,1,
1570,350217,7,
2559,350713,1,
2624,350713,2,
2624,350217,1,
1570,350217,1,
1652,350713,1,
1666,350217,1,
2371,350713,1,
2624,350217,1,
2667,350713,9,
2667,350217,3,
1664,350713,2,
1713,350713,3,
1748,350713,1,
1892,350713,2,
1892,350217,1,
2371,350713,1,
2624,350713,2,
2624,350217,1,
2667,350217,1,
1560,350217,1,
1652,350217,2,
1664,350713,1,
1664,350217,2,
1892,350217,4,
2515,350217,8,
2624,350713,1,
2624,350217,1,
2667,350713,4,
2702,350709,5,
2702,350213,2,
2702,350215,6,
1463,350705,1,
1531,350705,3,
1531,350408,4,
1531,350907,8,
1531,350608,3,
1535,350404,2,
1544,350209,1,
1544,350907,2,
