stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,is_trans_ctr,at_trans_ctr,direction
0901C,901,Barack Obama Blvd & W San Carlos,,37.325184,-121.90052,http://scmtd.com/stop/0901,0,0,
0902C,902,Barack Obama Blvd & W San Carlos,,37.324215,-121.900337,http://scmtd.com/stop/0902,0,0,
0904C,904,Diridon Station (Caltrain Depot),,37.330288,-121.902687,http://scmtd.com/stop/0904,0,0,4
0906C,906,W Santa Clara & Delmas Ave,,37.331902,-121.899567,http://scmtd.com/stop/0906,0,0,
0908C,908,W Santa Clara & Almaden Blvd,,37.333908,-121.89518,http://scmtd.com/stop/0908,0,0,
0910C,910,E Santa Clara & S 1st,,37.336311,-121.889877,http://scmtd.com/stop/0910,0,0,
0912C,912,W Santa Clara & S Market,,37.335377,-121.892365,http://scmtd.com/stop/0912,0,0,
0913C,913,W Santa Clara & Delmas Ave,,37.33218,-121.89959,http://scmtd.com/stop/0913,0,0,
0914C,914,E San Fernando & S 7th,,37.337299,-121.883209,http://scmtd.com/stop/0914,0,0,
0915C,915,Barack Obama Blvd & Park Ave,,37.325169,-121.90094,http://scmtd.com/stop/0915,0,0,
0918C,918,Big Basin Way & China Grade Rd,,37.165234,-122.163177,http://scmtd.com/stop/0918,0,0,3
0920C,920,W Santa Clara & Almaden Blvd,,37.33379,-121.895737,http://scmtd.com/stop/0920,0,0,
0923C,923,Barack Obama Blvd & Park Ave,,37.327213,-121.900436,http://scmtd.com/stop/0923,0,0,
0924C,924,E Santa Clara & S 6th,,37.338436,-121.885567,http://scmtd.com/stop/0924,0,0,
0925C,925,E Santa Clara & N 5th,,37.338409,-121.886139,http://scmtd.com/stop/0925,0,0,
1001R,1001,Airport Blvd & Airport Rd,,36.934383,-121.782814,http://scmtd.com/stop/1001,0,0,1
1002R,1002,Airport Blvd (Airport),,36.934322,-121.783485,http://scmtd.com/stop/1002,0,0,2
1005R,1005,Airport Blvd & Holm Rd,,36.931953,-121.787842,http://scmtd.com/stop/1005,0,0,2
1006R,1006,Airport Blvd (Freedom Centre),,36.939846,-121.77655,http://scmtd.com/stop/1006,0,0,1
1015R,1015,Amesti Rd & Green Valley Rd (Amesti School),,36.946316,-121.767708,http://scmtd.com/stop/1015,0,0,1
1020R,1020,Amesti Rd & Mann Ave,,36.956173,-121.781731,http://scmtd.com/stop/1020,0,0,1
1026R,1026,Amesti Rd & Bollinger Pl,,36.967934,-121.793793,http://scmtd.com/stop/1026,0,0,1
1034R,1034,Bowker Rd & Buena Vista Dr,,36.939789,-121.791351,http://scmtd.com/stop/1034,0,0,1
1035R,1035,Bowker Rd & Calabasas Rd,,36.941872,-121.790672,http://scmtd.com/stop/1035,0,0,1
1040R,1040,E Bronte Ave & Ester Way,,36.918427,-121.743027,http://scmtd.com/stop/1040,0,0,2
1044R,1044,Browns Valley Rd & Corralitos Rd,,36.988743,-121.806686,http://scmtd.com/stop/1044,0,0,1
1045R,1045,Clifford Ave (Clifford Manor),,36.924629,-121.773865,http://scmtd.com/stop/1045,0,0,3
1046R,1046,Clifford Ave & Lassen Way,,36.924191,-121.773895,http://scmtd.com/stop/1046,0,0,2
1047R,1047,Clifford Ave & Melrose Ave,,36.926682,-121.772972,http://scmtd.com/stop/1047,0,0,3
1049R,1049,Clifford Ave & Crescent Dr,,36.927647,-121.7715,http://scmtd.com/stop/1049,0,0,2
1051R,1051,Clifford Ave & Freedom Blvd,,36.929779,-121.768669,http://scmtd.com/stop/1051,0,0,2
1052R,1052,College Rd & Parker Dr,,36.933037,-121.734009,http://scmtd.com/stop/1052,0,0,1
1053R,1053,College Rd & Cutter Dr,,36.934174,-121.738052,http://scmtd.com/stop/1053,0,0,1
1054R,1054,College Rd & E Lake Ave,,36.935867,-121.742928,http://scmtd.com/stop/1054,0,0,1
1056R,1056,Corralitos Rd (Bradley Elementary),,36.975407,-121.806442,http://scmtd.com/stop/1056,0,0,2
1057R,1057,Corralitos Rd & Varni Rd,,36.96804,-121.807327,http://scmtd.com/stop/1057,0,0,2
1059R,1059,E Beach & Marchant,,36.912575,-121.753555,http://scmtd.com/stop/1059,0,0,2
1060R,1060,E Beach & Blackburn,,36.915508,-121.749451,http://scmtd.com/stop/1060,0,0,1
1061R,1061,E Beach & Beck,,36.916798,-121.747749,http://scmtd.com/stop/1061,0,0,1
1062R,1062,E Beach & Hushbeck Ave,,36.91856,-121.745316,http://scmtd.com/stop/1062,0,0,1
1064R,1064,E Lake & Sudden,,36.913342,-121.756165,http://scmtd.com/stop/1064,0,0,1
1069R,1069,E Lake & Martinelli (East Lake Village),,36.924847,-121.746262,http://scmtd.com/stop/1069,0,0,2
1070R,1070,E Lake & Martinelli (East Lake Village),,36.925247,-121.745865,http://scmtd.com/stop/1070,0,0,1
1077R,1077,Freedom Blvd & Brennan,,36.916782,-121.760345,http://scmtd.com/stop/1077,0,0,2
1078R,1078,Freedom Blvd & Stanford,,36.920795,-121.760757,http://scmtd.com/stop/1078,0,0,2
1080R,1080,Freedom Blvd & Atkinson Ln,,36.929951,-121.767693,http://scmtd.com/stop/1080,0,0,2
1081R,1081,Freedom Blvd & Sydney Ave,,36.931419,-121.769493,http://scmtd.com/stop/1081,0,0,1
1082R,1082,Freedom Blvd & Blanca Ln,,36.931553,-121.769249,http://scmtd.com/stop/1082,0,0,2
